trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997}",30,0,-118.95851370594775,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.994009}",25,0,-234.44489909697427,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.991026973}",25,0,-137.84565637022666,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.988053892081}",20,0,-102.93314319351379,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.985089730404757}",25,0,-156.23515600885648,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9821344612135428}",25,0,-160.79988288376205,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9791880578299021}",25,0,-159.7770080611842,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9762504936564125}",20,0,-138.343464548383,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9733217421754432}",25,0,-120.46768450698319,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9704017769489168}",20,0,-31.491753019663587,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9674905716180701}",20,0,-111.96635496755792,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9645880999032158}",20,0,-82.68969964417965,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9616943356035061}",25,0,-86.7222340892792,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9588092525966956}",20,0,-64.76225877682704,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9559328248389055}",25,0,-155.9360483710784,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9530650263643888}",25,0,-166.50702051855126,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9502058312852957}",25,0,-152.8005758664818,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9473552137914398}",20,0,-93.83205021299668,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9445131481500655}",25,0,-125.06267044767152,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9416796087056153}",20,0,-80.24900169238391,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9388545698794984}",25,0,-87.7258687853133,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.93603800616986}",20,0,-80.83674739277717,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9332298921513504}",20,0,-45.4932897965269,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9304302024748964}",20,0,-69.16073298543749,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9276389118674717}",25,0,-57.949431420849585,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9248559951318693}",20,0,-137.26981497145744,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9220814271464737}",20,0,-148.40457818002474,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9193151828650342}",30,10,-15.752989766486877,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.9165572373164391}",25,8,-96.36536223432958,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.9138075656044898}",25,0,-194.9347487252046,"{0: 12, 1: 5, 2: 3, 3: 2, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9110661429076764}",20,0,-85.28457707173466,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9083329444789534}",30,0,-152.15384082104026,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9056079456455165}",20,9,-39.79464640025552,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.90289112180858}",30,0,-118.38227402190356,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9001824484431542}",30,0,-123.04285481189116,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
