trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.41060378354825,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-204.98095127644274,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.517640074791146,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,15,4.396397918433875,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.29743781476256,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.22991215339155,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.66578150151253,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.37484066579633,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.72700316083747,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-136.32722387798333,"{0: 24, 1: 1, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,3,-136.33220771268398,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.5239929148045,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.362996112578834,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.83768306649893,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-49.24713574272581,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,4,-23.479052753233066,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-172.77679095536573,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.25370134331698,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.25733227298996,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.52668429476465,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-28.92755976974883,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-147.45630361546625,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.80056659009847,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.90111860869457,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-218.6360684880017,"{0: 18, 1: 6, 2: 7, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-64.38465926549173,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-73.62237709518854,"{0: 25, 1: 6, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.42507944659113,"{0: 7, 1: 6, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.5274371974275,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.29060016303611,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
